iter	Passed	Remaining
0	164	164062
1	165	82800
2	167	55554
3	168	41905
4	169	33686
5	170	28188
6	172	24497
7	174	21604
8	175	19290
9	178	17653
10	179	16126
11	180	14860
12	181	13784
13	182	12881
14	184	12086
15	185	11390
16	186	10757
17	186	10192
18	188	9716
19	189	9265
20	189	8852
21	191	8496
22	193	8213
23	194	7925
24	196	7651
25	197	7390
26	199	7196
27	200	6965
28	201	6753
29	202	6553
30	203	6362
31	205	6204
32	210	6168
33	212	6041
34	214	5907
35	215	5769
36	216	5638
37	217	5510
38	218	5388
39	219	5268
40	221	5171
41	222	5067
42	223	4963
43	224	4876
44	227	4821
45	228	4745
46	230	4672
47	231	4589
48	232	4519
49	233	4445
50	235	4374
51	236	4306
52	237	4237
53	238	4170
54	239	4113
55	241	4063
56	241	3999
57	242	3941
58	243	3885
59	244	3836
60	245	3783
61	246	3735
62	248	3689
63	249	3644
64	250	3604
65	251	3559
66	252	3513
67	253	3467
68	255	3442
69	256	3411
70	258	3376
71	259	3340
72	260	3306
73	261	3270
74	262	3234
75	263	3198
76	263	3163
77	264	3127
78	265	3093
79	266	3060
80	266	3028
81	267	2998
82	268	2968
83	270	2948
84	271	2919
85	272	2890
86	272	2861
87	273	2833
88	274	2806
89	274	2779
90	275	2753
91	276	2727
92	277	2702
93	277	2677
94	278	2653
95	279	2630
96	280	2606
97	280	2583
98	281	2561
99	282	2538
100	283	2520
101	284	2504
102	285	2485
103	286	2465
104	286	2445
105	287	2425
106	288	2407
107	289	2388
108	289	2369
109	290	2351
110	291	2334
111	292	2316
112	292	2299
113	293	2281
114	294	2264
115	295	2248
116	295	2230
117	296	2214
118	296	2198
119	298	2190
120	299	2177
121	300	2161
122	301	2147
123	301	2132
124	302	2118
125	303	2104
126	303	2089
127	304	2075
128	305	2062
129	306	2049
130	306	2035
131	307	2022
132	308	2009
133	309	1997
134	309	1984
135	310	1972
136	311	1960
137	311	1948
138	313	1943
139	314	1933
140	315	1922
141	316	1910
142	316	1898
143	317	1887
144	318	1876
145	319	1866
146	319	1855
147	320	1844
148	321	1834
149	321	1824
150	322	1814
151	323	1804
152	324	1794
153	324	1784
154	325	1774
155	326	1765
156	327	1756
157	328	1750
158	329	1742
159	330	1734
160	330	1724
161	331	1715
162	332	1706
163	333	1697
164	333	1688
165	334	1680
166	335	1671
167	335	1663
168	336	1655
169	337	1647
170	338	1639
171	338	1631
172	339	1623
173	340	1615
174	341	1607
175	341	1600
176	343	1597
177	344	1591
178	345	1584
179	346	1577
180	346	1569
181	347	1562
182	348	1555
183	349	1548
184	349	1540
185	350	1534
186	351	1527
187	352	1520
188	352	1513
189	353	1506
190	354	1500
191	354	1493
192	355	1487
193	356	1480
194	357	1474
195	358	1470
196	359	1464
197	360	1458
198	360	1452
199	361	1446
200	362	1440
201	363	1435
202	364	1429
203	365	1424
204	365	1418
205	366	1413
206	367	1407
207	368	1401
208	368	1395
209	369	1390
210	370	1384
211	370	1378
212	371	1373
213	372	1369
214	373	1365
215	374	1360
216	375	1355
217	376	1349
218	376	1344
219	377	1339
220	378	1334
221	379	1328
222	379	1323
223	380	1318
224	381	1313
225	382	1308
226	382	1303
227	383	1298
228	384	1293
229	384	1288
230	385	1283
231	386	1278
232	387	1276
233	388	1272
234	389	1268
235	390	1263
236	391	1258
237	391	1254
238	392	1249
239	393	1245
240	393	1240
241	394	1235
242	395	1231
243	395	1226
244	396	1222
245	397	1217
246	398	1213
247	398	1209
248	399	1204
249	400	1200
250	400	1196
251	402	1195
252	403	1191
253	404	1188
254	405	1183
255	405	1179
256	406	1175
257	407	1171
258	408	1167
259	408	1163
260	409	1159
261	410	1155
262	410	1151
263	411	1147
264	412	1143
265	413	1139
266	413	1136
267	414	1132
